X,Y,Z,Date And Time,Phone Id's
307,320,0,26/09/2014 10:38:50,ZX1B23QFSP48abead89f52e3bb
776,302,0,26/09/2014 10:38:52,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:38:52,ZX1B23QBS53771758c578bbd85
307,320,0,26/09/2014 10:38:52,ZX1B23QFSP48abead89f52e3bb
776,302,0,26/09/2014 10:38:54,TA92903URNf067ff16fcf8e045
340,320,0,26/09/2014 10:38:54,ZX1B23QFSP48abead89f52e3bb
514,320,0,26/09/2014 10:38:54,ZX1B23QBS53771758c578bbd85
738,364,0,26/09/2014 10:38:55,TA92903URNf067ff16fcf8e045
242,302,0,26/09/2014 10:38:56,ZX1B23QFSP48abead89f52e3bb
643,302,0,26/09/2014 10:38:56,ZX1B23QBS53771758c578bbd85
738,364,0,26/09/2014 10:38:57,TA92903URNf067ff16fcf8e045
514,320,0,26/09/2014 10:38:58,ZX1B23QBS53771758c578bbd85
274,364,0,26/09/2014 10:38:58,ZX1B23QFSP48abead89f52e3bb
403,320,0,26/09/2014 10:38:59,TA92903URNf067ff16fcf8e045
242,302,0,26/09/2014 10:39:00,ZX1B23QFSP48abead89f52e3bb
643,302,0,26/09/2014 10:39:00,ZX1B23QBS53771758c578bbd85
340,302,0,26/09/2014 10:39:01,TA92903URNf067ff16fcf8e045
274,364,0,26/09/2014 10:39:02,ZX1B23QFSP48abead89f52e3bb
643,302,0,26/09/2014 10:39:02,ZX1B23QBS53771758c578bbd85
738,364,0,26/09/2014 10:39:03,TA92903URNf067ff16fcf8e045
643,302,0,26/09/2014 10:39:04,ZX1B23QBS53771758c578bbd85
122,320,0,26/09/2014 10:39:04,ZX1B23QFSP48abead89f52e3bb
776,364,0,26/09/2014 10:39:05,TA92903URNf067ff16fcf8e045
643,302,0,26/09/2014 10:39:06,ZX1B23QBS53771758c578bbd85
122,364,0,26/09/2014 10:39:06,ZX1B23QFSP48abead89f52e3bb
738,364,0,26/09/2014 10:39:07,TA92903URNf067ff16fcf8e045
643,302,0,26/09/2014 10:39:08,ZX1B23QBS53771758c578bbd85
177,302,0,26/09/2014 10:39:08,ZX1B23QFSP48abead89f52e3bb
809,347,0,26/09/2014 10:39:09,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:39:10,ZX1B23QBS53771758c578bbd85
177,302,0,26/09/2014 10:39:10,ZX1B23QFSP48abead89f52e3bb
738,364,0,26/09/2014 10:39:11,TA92903URNf067ff16fcf8e045
486,320,0,26/09/2014 10:39:12,ZX1B23QBS53771758c578bbd85
122,320,0,26/09/2014 10:39:12,ZX1B23QFSP48abead89f52e3bb
514,320,0,26/09/2014 10:39:13,ZX1B23QBS53771758c578bbd85
809,347,0,26/09/2014 10:39:14,TA92903URNf067ff16fcf8e045
199,302,0,26/09/2014 10:39:14,ZX1B23QFSP48abead89f52e3bb
842,320,0,26/09/2014 10:39:15,TA92903URNf067ff16fcf8e045
616,347,0,26/09/2014 10:39:16,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:39:16,ZX1B23QFSP48abead89f52e3bb
542,320,0,26/09/2014 10:39:17,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:39:18,ZX1B23QFSP48abead89f52e3bb
876,347,0,26/09/2014 10:39:18,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:39:19,ZX1B23QBS53771758c578bbd85
274,364,0,26/09/2014 10:39:20,ZX1B23QFSP48abead89f52e3bb
876,302,0,26/09/2014 10:39:20,TA92903URNf067ff16fcf8e045
542,320,0,26/09/2014 10:39:22,ZX1B23QBS53771758c578bbd85
