Amount of time disappeared from the tracking system vs. Modulus speed from (560, 302) to (790, 323)
16.5,2.0,5.0
0.0,1.0,5.0
18.0,1.0,5.0
18.0,1.0,5.0
18.0,1.0,5.0
18.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
30.805843,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
33.0,1.0,5.0
33.0,1.0,5.0
37.589893,1.0,5.0
33.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
134.21252,0.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
30.805843,1.0,5.0
0.0,1.0,5.0
25.0,1.0,5.0
18.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
18.0,1.0,5.0
0.0,1.0,5.0
134.21252,1.0,5.0
18.0,1.0,5.0
33.0,1.0,5.0
37.589893,1.0,5.0
30.805843,1.0,5.0
30.805843,1.0,5.0
25.0,0.0,5.0
15.402922,2.0,5.0
0.0,0.0,5.0
16.224981,2.0,5.0
0.0,5.0,5.0
18.794947,2.0,5.0
9.0,2.0,5.0
12.5,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
30.805843,1.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
30.805843,1.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
12.5,2.0,5.0
16.224981,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
6.75,4.0,5.0
67.10626,2.0,5.0
0.0,2.0,5.0
66.5,2.0,5.0
0.0,2.0,5.0
66.5,2.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
12.5,2.0,5.0
12.5,2.0,5.0
27.0,1.0,5.0
15.0,2.0,5.0
0.0,2.0,5.0
18.0,1.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
40.25233,4.0,5.0
0.0,4.0,5.0
92.5,2.0,5.0
0.0,2.0,5.0
0.0,5.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
18.0,1.0,5.0
0.0,7.0,5.0
0.0,0.0,5.0
26.100767,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
20.0,3.0,5.0
37.589893,1.0,5.0
30.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
12.5,2.0,5.0
12.5,2.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
12.5,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
30.805843,1.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
15.402922,2.0,5.0
31.320919,2.0,5.0
16.224981,2.0,5.0
0.0,2.0,5.0
33.5,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
17.0,2.0,5.0
33.5,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,1.0,5.0
18.794947,2.0,5.0
27.513634,2.0,5.0
4.5,4.0,5.0
9.0,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,2.0
26.100767,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
12.5,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
33.0,1.0,2.0
13.5,2.0,2.0
5.3699846,7.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
3.0,9.0,2.0
16.224981,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
66.5,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
26.100767,2.0,2.0
0.0,3.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
67.0,1.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
18.794947,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
6.0,3.0,2.0
0.0,2.0,2.0
16.224981,2.0,2.0
0.0,3.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
26.0,2.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
12.0,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
18.794947,2.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
25.0,1.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,3.0,2.0
9.0,2.0,2.0
44.333332,3.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
25.0,1.0,2.0
9.0,2.0,2.0
10.816654,3.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
26.100767,2.0,2.0
30.0,1.0,2.0
0.0,5.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
30.0,2.0,2.0
0.0,1.0,2.0
26.100767,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
6.25,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
12.0,2.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
43.44249,2.0,2.0
37.589893,1.0,2.0
0.0,2.0,2.0
8.5,4.0,2.0
9.0,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
12.0,2.0,2.0
18.794947,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
37.589893,1.0,2.0
18.794947,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
52.0,1.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,3.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
10.268615,3.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
0.0,1.0,2.0
30.805843,1.0,2.0
0.0,1.0,2.0
30.805843,1.0,2.0
30.805843,1.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
30.805843,1.0,2.0
0.0,1.0,2.0
37.589893,1.0,2.0
69.375786,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
6.0,3.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,3.0,2.0
25.0,1.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
7.701461,4.0,2.0
0.0,2.0,2.0
7.701461,4.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
26.100767,2.0,2.0
26.100767,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,4.0,2.0
24.5,2.0,2.0
26.100767,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
7.701461,4.0,2.0
12.5,2.0,2.0
12.5,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
26.100767,2.0,2.0
26.100767,2.0,2.0
0.0,2.0,2.0
8.333333,3.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
50.803543,2.0,2.0
50.0,2.0,2.0
66.5,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
16.5,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
26.0,2.0,2.0
16.224981,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
12.0,2.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
12.0,2.0,2.0
15.402922,2.0,2.0
16.333334,3.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
37.589893,1.0,2.0
44.333332,3.0,2.0
134.21252,1.0,2.0
0.0,2.0,2.0
4.5,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
12.5,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
13.5,2.0,2.0
9.0,2.0,2.0
18.794947,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
25.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
67.10626,2.0,2.0
67.10626,2.0,2.0
100.0,1.0,2.0
50.0,2.0,2.0
44.333332,3.0,2.0
9.0,2.0,2.0
0.0,1.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
34.20526,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
18.794947,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
30.0,2.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
12.5,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
7.701461,4.0,2.0
15.402922,2.0,2.0
3.8507304,8.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
10.268615,3.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,1.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
12.0,2.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
12.5,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
30.805843,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
30.805843,1.0,2.0
0.0,1.0,2.0
18.0,1.0,2.0
30.805843,1.0,2.0
0.0,1.0,2.0
25.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
27.0,1.0,2.0
0.0,1.0,2.0
32.449963,1.0,2.0
101.607086,0.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
50.803543,2.0,2.0
50.803543,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
26.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
31.320919,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,2.0,3.0
10.816654,3.0,3.0
16.224981,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
9.0,2.0,3.0
7.701461,4.0,3.0
27.513634,2.0,3.0
0.0,2.0,3.0
67.10626,2.0,3.0
0.0,5.0,3.0
0.0,2.0,3.0
13.5,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,0.0,3.0
52.0,1.0,3.0
0.0,1.0,3.0
0.0,0.0,3.0
0.0,2.0,3.0
0.0,0.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
9.0,2.0,3.0
67.0,1.0,3.0
31.333334,3.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
9.0,2.0,3.0
0.0,3.0,3.0
34.687893,2.0,3.0
66.0,1.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
10.268615,3.0,3.0
27.513634,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
12.5,2.0,3.0
10.268615,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
44.737507,3.0,3.0
9.0,2.0,3.0
13.5,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
0.0,7.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,3.0,3.0
6.8784084,8.0,4.0
0.0,8.0,4.0
0.0,7.0,4.0
0.0,8.0,4.0
13.222222,9.0,4.0
13.672556,7.0,4.0
0.0,6.0,4.0
0.9060542,34.0,4.0
1.5,12.0,4.0
0.0,4.0,4.0
0.0,7.0,4.0
0.0,3.0,4.0
4.400835,7.0,4.0
0.0,8.0,4.0
0.0,3.0,4.0
0.0,7.0,4.0
0.0,8.0,4.0
0.0,8.0,4.0
0.0,7.0,4.0
