Total angle changed vs. Average speed from (560, 302) to (790, 323)
Average speed (points/sec)
Total angle changed (radians)
22.0,1.5707964,2.0
25.303162,1.0541012,2.0
51.29571,0.0,2.0
34.80102,0.0,2.0
18.398369,0.82384074,2.0
20.37526,4.8887553,2.0
30.964682,4.002592,2.0
28.239521,0.26625204,2.0
157.39563,0.98510194,2.0
187.97333,0.06198944,2.0
41.440426,0.22837575,2.0
77.43539,0.328711,2.0
222.25766,0.1663863,2.0
38.078865,2.7755576E-17,2.0
10.137461,2.311744,2.0
7.6859474,3.1415927,2.0
15.091705,0.7469556,2.0
16.08584,0.8928958,2.0
17.666737,1.332187,2.0
13.24873,4.712389,2.0
10.301078,9.102028,2.0
26.456678,1.849096,2.0
46.738323,1.332187,2.0
46.41769,0.2652071,2.0
132.83449,0.1663863,2.0
51.356598,0.9066587,2.0
76.71144,0.23684876,2.0
35.113876,1.4157422,2.0
19.220375,5.5339117,2.0
9.199184,0.82384074,2.0
5.1186547,1.332187,2.0
0.84589756,0.82384074,2.0
31.116241,2.5917394,2.0
35.87351,1.3038468,2.0
34.38062,0.41497546,2.0
78.92015,0.5921867,2.0
14.478834,7.8832755,3.0
141.62793,0.04535036,3.0
19.115429,1.0173203,3.0
10.503346,2.0322733,3.0
26.8,0.0,3.0
46.738323,1.8094057,3.0
14.037718,4.961809,3.0
67.601776,0.0,3.0
18.068176,0.9519674,3.0
6.6706305,3.1415927,3.0
17.636518,3.1415927,3.0
6.869099,3.1415927,3.0
4.297415,0.0,3.0
33.56219,1.4146146,3.0
30.397331,0.17636615,3.0
8.254667,2.9669204,3.0
124.01988,0.85843873,3.0
191.70068,0.0,3.0
321.81113,0.35462362,3.0
272.44595,0.9066587,3.0
124.01988,0.85843873,3.0
49.15562,1.3343993,3.0
21.403606,1.9432845,3.0
27.621586,0.7853982,3.0
23.138826,0.43435982,3.0
27.88471,0.85123694,3.0
129.50815,0.375084,3.0
0.61206555,1.233476,3.0
22.5,3.1415927,3.0
32.195114,1.332187,3.0
43.842945,0.06393712,3.0
95.41721,0.0,3.0
61.93368,1.7371826,3.0
1.6610783,0.5921867,3.0
124.47802,0.31447202,3.0
17.0,1.3981416,3.0
122.2417,0.9066587,3.0
45.545544,3.48068,3.0
19.195036,2.9784708,3.0
38.078865,0.23860933,3.0
184.23181,1.5707964,3.0
13.5,1.5707964,3.0
66.59196,0.53699195,3.0
18.013557,0.32101667,3.0
58.47618,0.8852976,3.0
58.637005,1.2027214,3.0
7.023167,6.2831855,3.0
20.774527,0.94890285,3.0
19.962574,1.8332776,3.0
9.338277,4.2052903,3.0
2.1408904,0.0,3.0
3.034768,0.0,3.0
139.5463,0.008501461,3.0
0.0,0.0,3.0
97.53484,0.16377221,3.0
65.12488,0.0,3.0
13.5,1.5707964,3.0
12.173375,1.8094057,3.0
22.387167,0.38328415,3.0
15.879024,1.6411028,3.0
55.962803,1.2604089,3.0
2.5160065,0.0,3.0
17.523102,2.698277,3.0
71.879364,2.2349339,3.0
144.08849,0.028551927,3.0
30.032873,1.0541012,3.0
46.738323,1.8094057,3.0
22.5,3.1415927,3.0
262.33804,0.0,3.0
48.83101,3.0396733,3.0
15.763566,0.5317241,3.0
0.0,0.46225291,3.0
0.0,1.4411565,3.0
0.0,0.07419455,3.0
156.11292,1.5081325,3.0
25.60628,0.90198416,3.0
49.717403,1.2014626,3.0
39.45124,0.67258114,3.0
25.668154,0.44522318,3.0
141.86783,0.15356293,3.0
0.0,1.1186424,3.0
198.86305,0.39855167,3.0
213.73561,0.443214,3.0
7.230433,0.6278366,3.0
136.34865,0.19233094,3.0
43.935963,0.54616654,3.0
0.3731363,0.30755726,3.0
23.6047,0.41497546,3.0
34.8264,1.241632,3.0
92.89318,0.95234865,3.0
90.88787,0.95234865,3.0
267.8622,0.0040579396,3.0
67.60369,0.2186642,3.0
173.39812,0.21460627,3.0
76.92456,2.7755576E-17,3.0
2.7096627,0.6920524,3.0
68.148735,0.328711,3.0
10.303326,2.580233,3.0
1.6537774,0.82384074,3.0
94.42987,0.09545372,3.0
26.375002,0.30755726,3.0
22.5,3.1415927,3.0
25.303162,1.0541012,3.0
33.42529,0.0,3.0
17.784565,0.23860933,3.0
17.666737,1.8094057,3.0
18.398369,0.0,3.0
95.41721,0.0,3.0
71.56291,0.0,3.0
80.95149,0.6920524,3.0
49.46829,1.4881822,3.0
1.7099335,0.85843873,3.0
269.4648,0.16735716,3.0
50.574596,0.041260973,3.0
183.05743,0.85843873,3.0
101.89786,0.6920524,3.0
65.51685,1.0033615,3.0
6.6316767,5.8195376,3.0
33.84066,0.7853982,3.0
30.025415,4.484167,3.0
26.940937,1.2921808,3.0
58.49487,0.4149417,3.0
278.07715,0.2349808,3.0
42.578587,0.15521885,3.0
17.022667,1.0315374,3.0
6.8892817,1.6000904,3.0
10.244944,4.741683,3.0
12.322337,1.2480462,3.0
38.5,0.0,3.0
50.670506,0.02448847,3.0
