Speed angle vs. Modulus speed from (100, 302) to (330, 323)
Modulus speed (points/sec)
Speed angle (radians)
0.0,-1.2442149,5.0
0.0,-0.19739556,5.0
0.0,-0.19739556,5.0
0.0,-0.19739556,5.0
13.829317,-0.7086263,5.0
0.0,-0.7086263,5.0
0.0,-0.7086263,5.0
18.794947,0.49934673,5.0
9.0,1.5707964,5.0
0.0,1.2298174,5.0
0.0,1.2298174,5.0
0.0,0.47501075,5.0
0.0,0.47501075,5.0
28.935272,-0.31628612,5.0
0.0,-0.31628612,5.0
32.5,0.0,5.0
0.0,0.0,5.0
33.723137,0.2701532,5.0
67.44627,0.2701532,5.0
0.0,-0.5354195,5.0
0.0,0.11133888,5.0
14.21267,0.6857295,5.0
21.5,-0.0,5.0
0.0,-0.0,5.0
32.5,0.0,5.0
11.0,-0.0,5.0
10.5,0.0,5.0
11.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.333333,-0.0,5.0
43.0,0.0,5.0
33.723137,0.2701532,5.0
54.74486,0.16514868,5.0
0.0,0.16514868,5.0
21.5,-0.0,5.0
10.5,0.0,5.0
0.0,0.0,5.0
65.62012,0.13758674,5.0
0.0,0.13758674,5.0
0.0,0.13758674,5.0
0.0,0.13758674,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
12.529964,-0.49934673,5.0
16.5,0.0,5.0
33.723137,0.2701532,5.0
32.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
16.0,-0.0,5.0
21.0,-0.0,5.0
10.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.060782574,5.0
0.0,0.060782574,5.0
0.0,0.060782574,5.0
0.0,0.6055447,2.0
0.0,0.6055447,2.0
0.0,0.6055447,2.0
0.0,0.6055447,2.0
0.0,0.6055447,2.0
10.5,-0.0,2.0
10.5,0.0,2.0
0.0,0.0,2.0
0.0,-0.28255495,2.0
60.0,-0.0,2.0
0.0,0.14301687,2.0
0.0,0.1746722,2.0
0.0,0.1746722,2.0
0.0,0.1746722,2.0
0.0,0.6857295,2.0
0.0,0.09445494,2.0
120.0,0.0,2.0
32.5,-0.0,2.0
65.0,0.0,2.0
0.0,-0.0,2.0
16.5,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
32.333332,-0.0,2.0
16.5,-0.0,2.0
0.0,0.1746722,2.0
0.0,-0.0,2.0
10.5,-0.0,2.0
27.986605,0.3274002,2.0
0.0,0.3274002,2.0
0.0,0.3274002,2.0
49.327984,0.18347995,2.0
0.0,0.18347995,2.0
32.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
33.723137,0.2701532,2.0
0.0,-0.0,2.0
10.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.0,0.0,2.0
100.62306,0.1798535,2.0
0.0,0.1798535,2.0
0.0,0.1798535,2.0
0.0,0.1798535,2.0
43.931767,0.20632389,2.0
10.5,0.0,2.0
0.0,0.0,2.0
10.5,-0.0,2.0
10.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.2896331,2.0
0.0,0.2896331,2.0
59.682495,0.15137544,2.0
16.5,0.0,2.0
0.0,0.0,2.0
11.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
0.0,0.0670748,2.0
0.053283766,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
33.723137,0.2701532,2.0
33.723137,0.2701532,2.0
0.0,0.2701532,2.0
0.0,0.2701532,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
33.723137,0.2701532,2.0
0.0,0.2701532,2.0
32.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
43.0,-0.0,2.0
0.0,0.0,2.0
32.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
18.35756,0.5123895,2.0
59.682495,0.15137544,2.0
0.0,0.47501075,2.0
0.0,0.47501075,2.0
0.0,0.47501075,2.0
0.0,0.47501075,2.0
0.0,0.47501075,2.0
