Path length vs. Time spent from (560, 343) to (790, 364)
Time spent (sec)
Path length (points/sec)
6.428571,60.41088,1.0
0.19689026,14.086187,1.0
0.15555546,14.13862,1.0
3.362963,14.055281,1.0
1.2148142,27.111736,1.0
0.20031698,22.965696,1.0
0.5703659,4.194483,1.0
0.30042037,14.068167,1.0
5.081481,177.50807,1.0
7.339905,389.64362,1.0
7.2007093,911.85986,1.0
0.25009015,22.175787,1.0
3.1723125,14.344916,1.0
0.19689026,14.086187,1.0
1.5931165,31.566717,1.0
4.2851853,14.354062,1.0
0.081480816,13.46432,1.0
3.5720499,302.3955,1.0
3.1794991,432.49713,1.0
1.0647057,4.4389343,1.0
11.8447695,1326.2374,1.0
6.44402,582.51666,1.0
7.020872,1257.2838,1.0
3.3467965,149.24088,1.0
7.2109966,138.84074,1.0
12.121198,186.97713,1.0
6.5085945,14.547967,1.0
0.52830225,14.702568,1.0
0.3456321,13.01641,1.0
12.657932,14.566726,1.0
12.172313,14.309668,1.0
4.0,0.0,1.0
2.1320755,7.0,1.0
0.5311292,30.146141,1.0
2.1629624,7.5501027,1.0
0.41821757,14.446809,1.0
0.15555562,14.757302,1.0
0.20740719,14.27724,1.0
