Speed angle changed vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle changed (radians)
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
29.804571,-0.6142496,3.0
21.5,-0.96441346,3.0
43.0,0.0,3.0
13.901439,-1.4545223,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
12.373808,-1.0812399,3.0
0.1540308,0.0,3.0
0.0,0.0,3.0
54.664886,-0.05928736,3.0
18.56071,-1.0812399,3.0
0.0,0.0,3.0
22.395435,-1.8266048,3.0
0.0,0.0,3.0
33.593155,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
33.593155,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
37.12142,-1.1685748,3.0
37.12142,0.0,3.0
17.0,-1.0951011,3.0
53.0,1.5707964,3.0
27.802877,-0.6578886,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
21.5,1.2442149,3.0
0.0,0.0,3.0
13.901439,-0.6578886,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
8.5,-2.263676,3.0
13.509256,-0.11611242,3.0
59.0,-0.69287956,3.0
59.0,0.0,3.0
0.0,0.0,3.0
32.5,0.11065722,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
37.12142,0.15862417,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,4.0
0.0,0.0,4.0
15.61854,-0.761671,4.0
2.75,0.15612637,4.0
6.625,0.0,4.0
0.0,0.0,4.0
10.714286,-0.0,4.0
13.666222,-0.15612637,4.0
0.0,0.0,4.0
0.0,0.0,4.0
