Total angle changed vs. Path length from (790, 302) to (1020, 323)
Path length (points/sec)
Total angle changed (radians)
66.0,0.07271923,3.0
0.0,0.34981614,3.0
0.0,0.5384636,3.0
38.470768,1.464455,3.0
0.0,0.8850668,3.0
0.0,0.0,3.0
38.470768,0.15130666,3.0
38.470768,0.5515473,3.0
406.73462,0.6009739,3.0
24.173584,1.4142628,3.0
34.0,0.99682564,3.0
0.0,0.9989462,3.0
232.31117,1.5986372,3.0
0.0,0.0,3.0
0.0,1.0108699,3.0
0.0,0.40024066,3.0
38.470768,0.7938599,4.0
0.0,0.45617014,4.0
0.0,0.5810823,4.0
0.0,0.04927948,4.0
0.0,0.4273017,4.0
0.0,0.05488986,4.0
0.0,0.0,4.0
0.0,0.038036615,4.0
38.470768,1.5203718,4.0
23.917828,0.8519663,4.0
0.0,2.0954096,4.0
0.0,0.5584411,4.0
0.0,0.60344005,4.0
38.470768,1.1939901,4.0
72.76089,0.6229829,1.0
0.0,0.0,1.0
0.0,0.42225116,1.0
0.0,0.18682016,1.0
0.0,0.0034031658,1.0
0.0,1.199761,1.0
100.0,0.6857295,1.0
602.1254,0.9741383,1.0
0.0,0.0,1.0
65.92397,1.3312591,1.0
22.14184,0.69041294,1.0
0.0,0.72347486,1.0
421.28003,0.5244305,1.0
34.0,1.5151881,1.0
38.470768,1.5433223,1.0
0.0,1.0007987,1.0
0.0,0.38365456,1.0
0.0,0.013232267,1.0
0.0,0.93804747,1.0
177.16258,0.7468416,1.0
0.0,0.4191426,1.0
66.0,0.42285392,1.0
0.0,0.24176389,1.0
0.0,0.591439,1.0
0.0,1.5707964,1.0
507.67618,0.079811886,1.0
0.0,0.816638,1.0
0.0,1.6779075,1.0
0.0,1.8233505,1.0
0.0,1.0691923,1.0
548.27484,3.39787,1.0
0.0,0.35354197,1.0
0.0,0.5810823,1.0
270.0,0.07677189,1.0
69.375786,2.1343975,1.0
91.16736,1.3911299,1.0
101.605415,2.1034153,1.0
0.0,0.0,1.0
0.0,0.025010483,1.0
0.0,1.0856507,1.0
43.774166,0.6849902,1.0
129.21649,1.1160523,1.0
0.0,0.5651316,1.0
0.0,0.0058719483,1.0
0.0,0.089777276,1.0
0.0,0.2985762,1.0
0.0,0.44682458,1.0
258.61475,1.2264138,1.0
53.28293,0.8832308,1.0
0.0,0.0,1.0
34.0,1.8474983,1.0
0.0,1.9929414,1.0
0.0,0.58450556,1.0
0.0,0.70338786,1.0
107.269554,1.8414315,1.0
307.76614,0.95420194,1.0
0.0,0.2009367,1.0
0.0,0.0,1.0
0.0,0.08833476,1.0
0.0,0.0,1.0
0.0,0.020939486,1.0
0.0,0.006434118,1.0
0.0,1.5707964,1.0
0.0,0.31505868,1.0
460.47424,1.3883053,1.0
0.0,0.73927706,1.0
0.0,0.7541583,1.0
0.0,0.1991626,1.0
0.0,0.8278572,1.0
102.59142,0.4114329,1.0
0.0,0.026233047,1.0
358.18365,0.737002,1.0
0.0,0.12164548,1.0
0.0,0.0,1.0
18.0,1.5451974,1.0
0.0,0.20766078,1.0
0.0,0.0034353796,1.0
139.53853,0.5743048,1.0
0.0,1.9929414,1.0
76.941536,1.6044285,1.0
0.0,0.591439,1.0
0.0,0.16918786,1.0
0.0,0.0,1.0
38.470768,0.5235085,1.0
