Total angle changed vs. Average speed from (100, 302) to (330, 323)
Average speed (points/sec)
Total angle changed (radians)
12.272727,1.4797599,3.0
3.8749366,2.0408485,3.0
9.755736,1.4021783,3.0
12.552795,2.0868213,3.0
0.0,0.0,3.0
13.21815,0.0,3.0
15.162999,2.36743,3.0
7.3818283,0.48878425,3.0
14.880199,0.6857295,3.0
90.93603,0.5182083,3.0
0.0,0.6258047,3.0
0.0,0.0037041025,3.0
0.0,0.11388963,3.0
0.0,1.427213,3.0
4.2,2.4740322,3.0
5.0041533,1.2298174,3.0
8.431867,0.79663366,3.0
13.180825,2.0408485,3.0
9.46432,2.609637,3.0
5.858514,2.1563263,3.0
25.350422,1.291031,3.0
0.0,0.0,3.0
16.21535,0.62854284,3.0
27.901613,0.47646743,3.0
16.442661,1.9377563,3.0
0.0,0.0,3.0
0.0,5.551115E-17,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.43789697,3.0
57.870544,1.54548,3.0
0.0,0.0,3.0
14.666667,1.2442149,3.0
0.0,1.8117409,3.0
0.0,0.6032299,3.0
0.0,0.0,3.0
0.0,1.0957856,3.0
0.0,0.28651294,3.0
17.824,2.0905697,3.0
0.0,0.94200003,3.0
26.013351,1.8926809,3.0
9.0,2.448713,3.0
53.835377,0.8070962,3.0
0.0,0.10393695,3.0
10.478976,0.76923287,3.0
2.5354102,0.5415019,3.0
238.43028,0.9432335,3.0
22.087101,0.0,3.0
0.0,0.5120791,3.0
4.3,2.5352097,3.0
5.609957,1.3977455,3.0
42.46469,0.5054338,3.0
0.0,0.47501075,3.0
15.846486,1.2298174,3.0
20.356335,1.9020169,3.0
0.0,1.8000282,3.0
0.0,0.38307706,3.0
37.589893,0.47697663,3.0
0.0,0.69287956,3.0
0.0,0.0316239,3.0
27.901613,0.75269955,3.0
16.124296,0.6055447,3.0
22.584715,1.6972549,3.0
0.0,0.5016041,3.0
0.0,5.551115E-17,3.0
0.0,1.1883107,3.0
0.0,1.0036734,3.0
0.0,0.105181836,3.0
0.0,0.05681607,3.0
0.0,0.96441346,3.0
79.26064,0.78136086,3.0
31.997433,0.93333423,3.0
0.0,1.5707964,3.0
39.537956,0.978431,3.0
0.0,1.2442149,3.0
0.0,0.3990589,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.2551824,3.0
17.50949,3.7364051,3.0
0.0,0.319896,3.0
14.117978,1.9259887,3.0
0.0,0.5600575,3.0
5.909091,1.0943289,3.0
28.504385,0.90975314,3.0
0.0,0.0,3.0
9.0,3.1415927,3.0
21.453682,3.4614224,3.0
262.3556,0.0,3.0
323.81052,0.027474001,3.0
0.0,0.0,3.0
0.0,0.5585619,3.0
250.16045,0.6475813,3.0
0.0,0.6558522,3.0
0.0,0.091028914,3.0
62.637947,3.0688365,3.0
6.264982,2.5694897,3.0
3.2637837,1.3806777,3.0
0.0,0.0,3.0
0.0,0.6471299,3.0
0.0,0.0,3.0
3.5,1.7681919,3.0
9.984455,5.7897005,3.0
0.0,0.029891426,3.0
16.86475,0.56737864,3.0
236.4831,0.4483664,3.0
8.841713,0.0034949617,3.0
0.0,0.46167523,3.0
5.7666078,1.7111467,3.0
0.0,1.0662359,3.0
303.41293,1.2683153,3.0
137.59686,0.031375688,3.0
0.0,0.039167188,3.0
0.0,0.07579379,3.0
0.0,1.5707964,3.0
6.2017336,0.63176286,3.0
0.0,0.6246354,3.0
4.7777777,0.6246354,3.0
1.25,1.8092647,3.0
26.551098,1.1772472,3.0
0.0,0.07295997,3.0
0.0,0.13104479,3.0
11.0,0.32272807,3.0
227.26416,0.5562672,3.0
119.03049,0.18540247,3.0
0.8076923,2.1942308,4.0
3.3,0.91545236,4.0
46.486557,0.6191318,4.0
4.818182,0.5299639,4.0
0.0,0.16453668,4.0
0.0,0.403538,4.0
2.106383,1.0962533,4.0
0.0,1.8000282,4.0
6.841133,0.6055447,4.0
10.726314,1.7397138,4.0
1.610758,0.0,4.0
3.442689,1.0077809,4.0
0.0,0.0,4.0
0.0,0.69287956,4.0
2.127587,1.8000282,4.0
0.0,2.7755576E-17,4.0
18.609598,1.2161034,1.0
0.0,2.5352097,1.0
0.0,0.6063829,1.0
31.270153,1.0973978,1.0
