Time still vs. Time spent from (560, 302) to (790, 323)
Time spent (sec)
Time still (sec)
2.2279434,0.0,2.0
2.1490026,0.0,2.0
1.1581769,0.0,2.0
8.741952,6.0,2.0
1.6108669,0.0,2.0
5.1212115,1.0,2.0
10.666266,4.0,2.0
13.711043,4.0,2.0
3.1634421,0.0,2.0
1.4533424,0.0,2.0
6.461871,4.0,2.0
4.594494,0.0,2.0
2.1081133,0.0,2.0
7.4320316,0.0,2.0
30.803585,26.0,2.0
15.81447,4.0,2.0
1.9302325,0.0,2.0
0.1212103,0.0,2.0
2.930386,0.0,2.0
3.287129,0.0,2.0
2.8058212,0.0,2.0
2.2592592,0.0,2.0
11.197528,6.0,2.0
2.3030288,2.0,2.0
5.5037007,0.0,2.0
3.1320126,0.0,2.0
0.90794015,0.0,2.0
14.306779,0.0,2.0
3.287129,0.0,2.0
3.8098087,0.0,2.0
2.8867695,0.0,2.0
1.5212115,0.0,2.0
3.8185194,0.0,2.0
0.24242324,0.0,2.0
0.0,0.0,2.0
1.4400649,0.0,2.0
1.1953282,0.0,2.0
1.9534875,0.0,2.0
2.930386,0.0,2.0
0.121211655,0.0,2.0
0.121211484,0.0,2.0
3.287129,0.0,2.0
1.8979592,0.0,2.0
0.19752973,0.0,2.0
7.70417,0.0,2.0
7.930386,0.0,2.0
7.6488547,6.0,2.0
1.5272236,0.0,2.0
4.0221686,0.0,2.0
5.6108665,4.0,2.0
1.1785351,0.0,2.0
1.044288,0.0,2.0
3.027027,0.0,2.0
7.837035,2.0,2.0
5.377777,4.0,2.0
0.41750625,0.0,2.0
3.3333323,2.0,2.0
4.4320316,2.0,2.0
2.918518,0.0,2.0
10.918518,2.0,2.0
3.1160488,0.0,2.0
1.6752748,0.0,2.0
2.7182255,0.0,2.0
0.12121117,0.0,2.0
4.279389,3.0,2.0
6.443891,0.0,2.0
35.924362,0.0,2.0
14.432032,2.0,2.0
0.39505947,0.0,2.0
15.296896,0.0,2.0
4.2962947,4.0,2.0
6.585184,2.0,2.0
11.764776,0.0,2.0
4.9138346,0.0,2.0
1.4545444,0.0,2.0
23.265306,4.0,3.0
13.475195,4.0,3.0
42.080513,20.0,3.0
4.1975284,2.0,3.0
8.656716,0.0,3.0
1.6752748,0.0,3.0
35.913834,11.0,3.0
3.4626865,0.0,3.0
6.4320316,1.0,3.0
8.116048,4.0,3.0
5.837036,0.0,3.0
6.017283,4.0,3.0
1.691354,1.0,3.0
5.157078,0.0,3.0
5.5040298,0.0,3.0
12.098039,7.0,3.0
1.770067,0.0,3.0
7.526051,0.0,3.0
2.8698516,0.0,3.0
1.2768772,0.0,3.0
1.770067,0.0,3.0
4.7878766,0.0,3.0
3.039729,0.0,3.0
5.5308642,0.0,3.0
3.6435645,2.0,3.0
6.034175,4.0,3.0
3.2604392,0.0,3.0
862.9532,0.0,3.0
1.8370361,0.0,3.0
2.4320316,0.0,3.0
2.6115525,0.0,3.0
0.99999875,0.0,3.0
0.30302867,0.0,3.0
2.121212,2.0,3.0
1.7372655,0.0,3.0
2.0,0.0,3.0
1.7978715,0.0,3.0
9.935677,0.0,3.0
14.573644,2.0,3.0
1.5135134,0.0,3.0
2.449381,0.0,3.0
0.1975301,0.0,3.0
1.7403003,0.0,3.0
17.917183,6.0,3.0
1.9534879,0.0,3.0
2.3980095,0.0,3.0
14.530612,8.0,3.0
3.846845,0.0,3.0
4.6122785,0.0,3.0
4.4592586,2.0,3.0
3.3950596,3.0,3.0
2.3950596,2.0,3.0
3.1000414,0.0,3.0
0.0,0.0,3.0
3.1399486,0.0,3.0
2.5736434,0.0,3.0
0.1975301,0.0,3.0
6.4320316,4.0,3.0
1.9185174,0.0,3.0
4.9185185,0.0,3.0
2.4105883,0.0,3.0
2.8888838,2.0,3.0
10.580471,6.0,3.0
38.253307,4.0,3.0
3.0043309,0.0,3.0
3.7647758,0.0,3.0
1.6752748,0.0,3.0
1.8370361,0.0,3.0
0.63723606,0.0,3.0
12.333332,0.0,3.0
