Speed angle vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle (radians)
0.0,-0.07782415,1.0
0.0,-0.59506965,1.0
27.802877,-0.6578886,1.0
0.0,-0.6578886,1.0
0.0,-0.6578886,1.0
0.0,-0.6578886,1.0
22.395435,-0.25580856,1.0
5.7798142,-0.37649032,1.0
17.0,0.0,1.0
67.18631,-0.25580856,1.0
0.0,0.6055447,1.0
27.802877,-0.6578886,1.0
0.0,-0.07782415,1.0
0.0,-0.07782415,1.0
0.0,-0.27708754,1.0
0.0,-0.27708754,1.0
0.0,-0.27708754,1.0
0.0,-0.27708754,1.0
0.0,-0.27708754,1.0
76.902534,-0.22290023,1.0
0.0,-0.22290023,1.0
0.0,-0.22290023,1.0
36.0,0.0,1.0
0.0,-0.35691193,1.0
0.0,-0.35691193,1.0
0.0,-1.1071488,1.0
0.0,-1.1071488,1.0
0.0,0.47116625,1.0
0.0,-0.35691193,1.0
0.0,-0.35691193,1.0
43.0,0.0,1.0
1.05,-0.0,1.0
0.0,0.20176235,5.0
18.56071,-0.47569522,5.0
0.0,0.6857295,5.0
0.0,0.6857295,5.0
16.796577,-0.25580856,5.0
16.0,0.0,5.0
0.0,0.0,5.0
0.0,-0.65822816,5.0
0.0,-0.16839015,5.0
0.0,-0.16839015,5.0
0.0,-1.2442149,5.0
0.0,-1.2442149,5.0
16.5,-0.0,5.0
0.0,-0.0,5.0
27.82984,-0.3103874,5.0
0.0,0.20176235,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,0.28177187,5.0
0.0,0.28177187,5.0
0.0,0.6857295,5.0
10.5,0.0,5.0
16.0,0.0,5.0
18.56071,-0.47569522,5.0
0.0,0.4837791,5.0
0.0,0.4837791,5.0
0.0,0.4837791,5.0
0.0,1.5707964,5.0
0.0,1.5707964,5.0
59.0,-0.0,5.0
0.0,-0.13102792,5.0
0.0,-0.06735826,5.0
152.0,0.0,5.0
0.0,0.0,5.0
76.0,-0.0,5.0
0.0,-0.0,5.0
75.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.6246354,5.0
0.0,1.5707964,5.0
0.0,1.5707964,5.0
27.332443,-0.15612637,5.0
11.0,0.0,5.0
76.0,-0.0,5.0
0.0,0.6055447,5.0
0.0,0.6055447,5.0
0.0,0.6055447,5.0
0.0,0.6055447,5.0
0.0,-0.96441346,5.0
0.0,0.6857295,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.07782415,5.0
0.0,-0.067279615,5.0
11.0,-0.0,5.0
37.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,-0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.0,0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,0.6055447,5.0
0.0,0.6055447,5.0
0.0,0.03942272,5.0
0.0,-0.0,5.0
0.0,-0.59506965,2.0
0.0,-0.59506965,2.0
0.0,-0.59506965,2.0
0.0,0.4837791,2.0
0.0,0.6857295,2.0
0.0,0.03942272,2.0
0.0,0.03942272,2.0
0.0,-0.7968919,2.0
17.0,-0.0,2.0
0.0,0.9129077,2.0
0.0,0.9129077,2.0
17.666666,0.0,2.0
0.0,0.0,2.0
14.333333,-0.0,2.0
21.5,0.0,2.0
13.901439,-0.6578886,2.0
17.0,0.0,2.0
0.0,-0.16839015,2.0
0.0,0.6857295,2.0
0.0,0.4820787,2.0
0.0,0.69287956,2.0
0.0,0.69287956,2.0
59.0,-0.0,2.0
0.0,-0.0,2.0
59.0,0.0,2.0
0.0,0.93804747,2.0
0.0,0.6055447,2.0
7.3333335,0.0,2.0
0.0,0.0,2.0
0.0,1.1160771,2.0
33.593155,-0.25580856,2.0
0.0,-0.0,2.0
0.0,0.03942272,2.0
0.0,0.03942272,2.0
0.0,0.03942272,2.0
37.5,0.0,2.0
37.5,-0.0,2.0
0.0,-0.0,2.0
39.333332,0.0,2.0
25.0,-0.0,2.0
0.0,1.5707964,2.0
0.0,-0.16839015,2.0
16.0,-0.0,2.0
0.0,-0.0,2.0
33.593155,-0.25580856,2.0
0.0,0.6055447,2.0
75.97697,-0.11211071,2.0
0.0,-0.11211071,2.0
0.0,-0.11211071,2.0
0.0,0.69287956,2.0
38.0,-0.0,2.0
0.0,-0.0,2.0
0.0,0.03942272,2.0
0.0,0.69287956,2.0
0.0,0.93804747,2.0
0.0,-0.07782415,2.0
0.0,-0.07782415,2.0
75.97697,-0.11211071,2.0
0.0,-0.0,2.0
0.0,-0.7968919,2.0
0.0,-0.7968919,2.0
0.0,-0.7968919,2.0
25.0,-0.0,2.0
0.0,-0.06871754,2.0
0.0,0.6055447,2.0
75.0,-0.0,2.0
0.0,0.6055447,2.0
0.0,0.6055447,2.0
0.0,0.6055447,2.0
0.0,0.23860933,2.0
54.664886,-0.15612637,2.0
0.0,-0.6246354,2.0
0.0,-0.6246354,2.0
21.5,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
0.0,0.96441346,3.0
29.804571,-0.14308329,3.0
21.5,-0.0,3.0
43.0,0.0,3.0
13.901439,-0.6578886,3.0
0.0,-1.1071488,3.0
0.0,0.6055447,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
0.0,0.6055447,3.0
12.373808,-0.47569522,3.0
0.1540308,-0.47569522,3.0
0.0,0.11137924,3.0
54.664886,-0.15612637,3.0
18.56071,-0.47569522,3.0
0.0,1.5707964,3.0
22.395435,-0.25580856,3.0
0.0,-0.25580856,3.0
33.593155,-0.25580856,3.0
0.0,-0.25580856,3.0
0.0,-0.25580856,3.0
0.0,-0.25580856,3.0
33.593155,-0.25580856,3.0
0.0,-0.25580856,3.0
0.0,0.5676664,3.0
0.0,-0.59506965,3.0
0.0,-0.028231699,3.0
0.0,-0.028231699,3.0
0.0,-0.37020758,3.0
0.0,-0.1012915,3.0
0.0,-0.1012915,3.0
0.0,-0.07731039,3.0
0.0,1.0943289,3.0
37.12142,-0.47569522,3.0
37.12142,-0.47569522,3.0
17.0,-1.5707964,3.0
53.0,-0.0,3.0
27.802877,-0.6578886,3.0
0.0,1.2298174,3.0
0.0,1.2298174,3.0
0.0,-1.2442149,3.0
21.5,0.0,3.0
0.0,0.0,3.0
13.901439,-0.6578886,3.0
0.0,-0.6578886,3.0
0.0,1.5707964,3.0
0.0,-0.59506965,3.0
8.5,-1.5707964,3.0
13.509256,0.68052125,3.0
59.0,-0.0,3.0
59.0,0.0,3.0
0.0,0.0,3.0
32.5,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.0,3.0
0.0,-0.068322726,3.0
0.0,-0.068322726,3.0
0.0,-0.068322726,3.0
0.0,-0.07892185,3.0
0.0,-0.07892185,3.0
0.0,-0.07892185,3.0
37.12142,-0.47569522,3.0
0.0,-0.07731039,3.0
0.0,-0.07731039,3.0
0.0,-0.38307706,3.0
0.0,-0.0,4.0
0.0,-0.0,4.0
15.61854,-0.15612637,4.0
2.75,0.0,4.0
6.625,0.0,4.0
0.0,0.0,4.0
10.714286,-0.0,4.0
13.666222,-0.15612637,4.0
0.0,-0.15612637,4.0
0.0,-0.05354196,4.0
