Speed angle changed vs. Modulus speed from (560, 343) to (790, 364)
Modulus speed (points/sec)
Speed angle changed (radians)
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
20.81466,-0.5512591,1.0
29.410883,-0.13738334,1.0
51.86521,0.5621103,1.0
14.705441,-0.28235185,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
171.84296,-0.6048565,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
85.92148,-0.37207666,1.0
171.84296,-0.2116768,1.0
0.0,0.0,1.0
0.0,0.0,1.0
17.0,-1.8811837,1.0
0.0,0.0,1.0
0.0,0.0,1.0
209.0,0.09786815,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
17.0,2.4403327,1.0
0.0,0.0,1.0
12.4,-1.5707964,1.0
62.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
101.43471,0.069809645,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
12.0,0.0,1.0
12.671052,0.09134812,1.0
0.0,0.0,1.0
0.0,0.0,1.0
32.75668,1.0093026,1.0
0.0,0.0,1.0
64.288414,0.9854483,1.0
50.717354,-0.09922615,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
7.6,0.43335384,1.0
0.0,0.0,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
15.116217,-0.9470323,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
15.116217,-2.167973,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.5,1.3120254,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
171.0,-0.16871054,5.0
171.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
171.0,-0.046669386,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
62.0,-0.18300392,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.5,1.2209407,5.0
0.0,0.0,5.0
15.116217,-0.9470323,5.0
0.0,0.0,5.0
85.92148,0.40947703,5.0
0.0,0.0,5.0
0.0,0.0,5.0
19.0,-0.099089615,5.0
0.0,0.0,5.0
0.0,0.0,5.0
19.0,0.85843873,5.0
0.0,0.0,5.0
15.116217,-2.167973,5.0
0.0,0.0,5.0
85.5,-0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
85.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
85.5,-0.14905684,5.0
171.84296,0.099089615,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
15.116217,-1.6608745,5.0
16.37834,0.04234755,5.0
85.92148,0.44656545,5.0
54.5,0.099089615,5.0
85.92148,0.099089615,5.0
8.5,-1.669886,5.0
0.0,0.0,5.0
0.0,0.0,5.0
15.116217,-1.4210174,5.0
85.5,-0.26211983,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
85.5,-0.11010565,2.0
85.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
19.0,0.075747654,2.0
104.5,-0.0,2.0
19.0,-0.13059573,2.0
