X,Y,Z,Date And Time,Phone Id's
432,320,0,24/09/2014 11:02:21,HT25TW5055273593c875a9898b00
432,347,0,24/09/2014 11:02:21,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:02:21,ZX1B23QBS53771758c578bbd85
156,302,0,24/09/2014 11:02:22,TA92903URNf067ff16fcf8e045
307,320,0,24/09/2014 11:02:23,ZX1B23QFSP48abead89f52e3bb
432,320,0,24/09/2014 11:02:23,ZX1B23QBS53771758c578bbd85
307,320,0,24/09/2014 11:02:23,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:02:23,TA92903URNf067ff16fcf8e045
199,364,0,24/09/2014 11:02:24,YT910K6675876ded0861342065
307,320,0,24/09/2014 11:02:25,HT25TW5055273593c875a9898b00
307,302,0,24/09/2014 11:02:25,ZX1B23QFSP48abead89f52e3bb
374,302,0,24/09/2014 11:02:25,ZX1B23QBS53771758c578bbd85
221,347,0,24/09/2014 11:02:25,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:02:26,HT25TW5055273593c875a9898b00
199,364,0,24/09/2014 11:02:27,YT910K6675876ded0861342065
340,302,0,24/09/2014 11:02:27,ZX1B23QFSP48abead89f52e3bb
514,302,0,24/09/2014 11:02:27,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:02:27,TA92903URNf067ff16fcf8e045
432,347,0,24/09/2014 11:02:28,HT25TW5055273593c875a9898b00
340,302,0,24/09/2014 11:02:29,ZX1B23QFSP48abead89f52e3bb
459,347,0,24/09/2014 11:02:29,HT25TW5055273593c875a9898b00
340,320,0,24/09/2014 11:02:29,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:02:29,TA92903URNf067ff16fcf8e045
459,347,0,24/09/2014 11:02:30,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:02:31,ZX1B23QBS53771758c578bbd85
340,302,0,24/09/2014 11:02:31,ZX1B23QFSP48abead89f52e3bb
274,347,0,24/09/2014 11:02:31,TA92903URNf067ff16fcf8e045
459,347,0,24/09/2014 11:02:31,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:02:32,ZX1B23QBS53771758c578bbd85
459,347,0,24/09/2014 11:02:33,HT25TW5055273593c875a9898b00
340,320,0,24/09/2014 11:02:33,ZX1B23QFSP48abead89f52e3bb
274,347,0,24/09/2014 11:02:33,TA92903URNf067ff16fcf8e045
374,320,0,24/09/2014 11:02:34,HT25TW5055273593c875a9898b00
199,364,0,24/09/2014 11:02:34,YT910K6675876ded0861342065
432,302,0,24/09/2014 11:02:34,ZX1B23QBS53771758c578bbd85
340,302,0,24/09/2014 11:02:35,ZX1B23QFSP48abead89f52e3bb
221,320,0,24/09/2014 11:02:35,TA92903URNf067ff16fcf8e045
340,302,0,24/09/2014 11:02:36,HT25TW5055273593c875a9898b00
459,302,0,24/09/2014 11:02:36,ZX1B23QBS53771758c578bbd85
340,320,0,24/09/2014 11:02:36,ZX1B23QFSP48abead89f52e3bb
221,320,0,24/09/2014 11:02:37,TA92903URNf067ff16fcf8e045
459,320,0,24/09/2014 11:02:37,HT25TW5055273593c875a9898b00
432,320,0,24/09/2014 11:02:38,ZX1B23QBS53771758c578bbd85
274,347,0,24/09/2014 11:02:38,TA92903URNf067ff16fcf8e045
340,320,0,24/09/2014 11:02:38,ZX1B23QFSP48abead89f52e3bb
