Total angle changed vs. Path length from (100, 302) to (330, 323)
Path length (points/sec)
Total angle changed (radians)
0.0,0.11561118,5.0
0.0,0.39479113,5.0
42.038906,0.41635326,5.0
42.038906,1.1353517,5.0
0.0,0.3774792,5.0
179.34662,0.0,5.0
51.0,3.3726833,5.0
615.6934,4.4900684,5.0
74.05716,0.42018676,5.0
0.0,0.05042451,5.0
0.0,0.085102014,5.0
65.0,0.5442044,5.0
42.038906,0.61714435,5.0
83.037315,1.1353517,5.0
42.038906,0.50954694,5.0
43.38726,1.1135275,5.0
199.89255,1.1649418,5.0
456.51178,2.2407076,5.0
188.06088,1.5629767,5.0
185.98497,0.19078408,5.0
0.0,0.0,5.0
79.07591,0.7873529,5.0
81.1818,1.512983,5.0
0.0,0.0,5.0
53.0,0.09596104,5.0
230.17473,0.56896085,5.0
0.0,1.0939916,5.0
139.80846,0.40674183,5.0
136.71841,0.14310114,5.0
100.355804,0.2769915,5.0
133.76326,0.95868516,5.0
0.0,0.043450896,5.0
37.52407,0.09476581,5.0
33.473114,0.7424325,5.0
64.29071,0.0,5.0
0.0,0.05042451,5.0
97.0,0.0,5.0
0.0,5.551115E-17,5.0
0.0,0.0,5.0
67.44627,1.0396531,5.0
0.0,0.31399876,5.0
72.362175,0.20373388,5.0
0.0,0.11388963,5.0
0.0,1.1679313,5.0
79.11241,0.71009177,5.0
203.12453,0.28255495,5.0
